Time_min,Time_max,Lightness_min,Lightness_max,Hue_min,Hue_max,Saturation_min,Saturation_max,Result,Call,Note
0.5,2,50,101,200,280,30,100,4,Natural,very strong blue FL
0.5,200,0,9.5,0,360,0,100,2,Refer,
0.5,200,9.5,50,0,35,0,100,2,Refer,
0.5,50,9.5,50,35,325,0,100,1,Natural,
50,200,9.5,50,35,200,0,100,1,Natural,
50,200,9.5,50,200,325,35,100,1,Natural,
50,200,9.5,50,200,325,0,35,2,Refer,As grown CVD
0.5,200,9.5,50,325,360,0,100,2,Refer,
200,1000,0,20,0,360,0,100,2,Refer,
200,1000,20,50,0,95,0,100,2,Refer,
200,1000,20,50,95,190,15,25,3,Natural,
200,1000,20,50,190,210,0,100,2,Refer,
200,1000,20,50,210,230,0,35,2,Refer,
200,1000,20,50,210,230,35,100,3,Natural,
200,1000,20,50,230,260,0,30,2,Refer,
200,1000,20,50,230,270,35,100,3,Natural,
200,1000,20,50,270,360,0,100,2,Refer,
